SEASON,Player,Position,Predicted 2021 Fantasy Points,TDS,YDS,PASS YDS,PASS TD,PASS INT,RUSH YDS,RUSH TD,REC,REC YDS,REC TD
2021,Patrick Mahomes,QB,358.6386803,40,4888.666667,4622.666667,38,7.666666667,266,2,0,0,0
2021,Deshaun Watson,QB,334.1386803,33.66666667,4751.333333,4280,28.33333333,9.333333333,469.3333333,5,0.333333333,2,0.333333333
2021,Justin Herbert,QB,333.1386803,36,4570,4336,31,10,234,5,0,0,0
2021,Kyler Murray,QB,324.0136803,30.5,4528,3846.5,23,12,681.5,7.5,0,0,0
2021,Russell Wilson,QB,321.6386803,37,4330,3923.333333,35.33333333,8.333333333,410.3333333,1.666666667,0.333333333,-3.666666667,0
2021,Aaron Rodgers,QB,316.3886803,35,4446,4247.666667,33,3.666666667,200.3333333,2,0.333333333,-2,0
2021,Lamar Jackson,QB,303.6386803,29,3330.333333,2361.666667,22.66666667,6,968.6666667,6.333333333,0,0,0
2021,Josh Allen,QB,296.5136803,31,3760.333333,3235.666667,22.33333333,10.33333333,520.6666667,8.333333333,0.333333333,4,0.333333333
2021,Dak Prescott,QB,296.3886803,24.66666667,3776,3547.333333,20.33333333,7.666666667,225,4,0.333333333,3.666666667,0.333333333
2021,Matt Ryan,QB,295.5136803,31.33333333,4780,4657,29,10.66666667,121.3333333,2,0.333333333,1.666666667,0.333333333
2021,Tom Brady,QB,287.8886803,33.66666667,4375.333333,4348.333333,31,10.33333333,25,2.666666667,0.333333333,2,0
2021,Ben Roethlisberger,QB,286.6386803,32.66666667,4446,4394.333333,31.66666667,13.33333333,52,1,0.333333333,-0.333333333,0
2021,Cam Newton,QB,281.1386803,25.66666667,3741,3118,18,13,611.3333333,7.333333333,0.666666667,11.66666667,0.333333333
2021,Kirk Cousins,QB,273.3886803,31.33333333,4169,4055.333333,30.33333333,9.666666667,114,1,0.333333333,-0.333333333,0
2021,Jared Goff,QB,262.5136803,27.33333333,4508.333333,4426,24.66666667,13.66666667,82.33333333,2.666666667,0,0,0
2021,Drew Brees,QB,262.5136803,30,3310,3304.333333,27.66666667,5,5.333333333,2.333333333,0.333333333,0.333333333,0
2021,Derrick Henry,RB,256.5970543,15.66666667,1686.333333,4.666666667,0,0,1542,15,17.33333333,139.6666667,0.666666667
2021,Christian McCaffrey,RB,255.6635826,13.33333333,1831,16.66666667,0.333333333,0,973.3333333,8,101,841,5
2021,Philip Rivers,QB,249.5136803,26.33333333,4373.333333,4364,26.33333333,14.33333333,9.333333333,0,0,0,0
