,Player,Team,FF Pts,Plays,TRGT,REC,RCYDS,RCTDS,RUATT,RUYDS,RUTDS,INT,FUM,Week,Season
0,Tony Gonzalez,ATL,18.3,14,14,13,123,1,0,0,0,0,0,1,2012
1,Jason Witten,DAL,17.2,14,14,13,112,1,0,0,0,0,0,1,2012
2,Brent Celek,PHI,12.6,10,10,7,66,1,0,0,0,0,0,1,2012
3,Fred Davis,WAS,12.4,10,10,9,124,0,0,0,0,0,0,1,2012
4,Marcedes Lewis,JAC,11.6,10,10,8,56,1,0,0,0,0,0,1,2012
5,J. Gresham,CIN,10.7,11,11,10,107,0,0,0,0,0,0,1,2012
6,Dwayne Allen,IND,9.8,5,5,4,38,1,0,0,0,0,0,1,2012
7,Jared Cook,TEN,9.7,8,8,5,37,1,0,0,0,0,0,1,2012
8,Kellen Davis,CHI,8.8,8,8,5,88,0,0,0,0,0,0,1,2012
9, Kyle Rudolph,MIN,8.3,7,7,4,23,1,0,0,0,0,0,1,2012
10, Joel Dreessen,DEN,7.7,3,3,2,17,1,0,0,0,0,0,1,2012
11, Jimmy Graham,NO,7.6,9,9,7,76,0,0,0,0,0,0,1,2012
12, Bear Pascoe,NYG,7.3,3,3,2,13,1,0,0,0,0,0,1,2012
13, Lance Kendricks,LAR,6.7,2,2,1,7,1,0,0,0,0,0,1,2012
14, J. Finley,GB,6.5,10,10,7,65,0,0,0,0,0,0,1,2012
15, Zach Miller,SEA,5.9,3,3,3,59,0,0,0,0,0,0,1,2012
16, Rob Housler,ARI,4.5,6,6,3,45,0,0,0,0,0,0,1,2012
17, Heath Miller,PIT,4.1,5,5,4,41,0,0,0,0,0,0,1,2012
18, Coby Fleener,IND,4.1,9,9,5,41,0,0,0,0,0,0,1,2012
19, Jacob Tamme,DEN,3.8,6,6,5,38,0,0,0,0,0,0,1,2012
20, Greg Olsen,CAR,3.7,3,3,2,37,0,0,0,0,0,0,1,2012
21, Charles Clay,MIA,3.5,5,5,3,35,0,0,0,0,0,0,1,2012
22, Rhett Ellison,MIN,3.5,2,2,2,35,0,0,0,0,0,0,1,2012
23, M. Bennett,NYG,3.2,7,7,4,32,0,0,0,0,0,0,1,2012
24, Niles Paul,WAS,3,2,2,1,30,0,0,0,0,0,0,1,2012
25, Anthony Fasano,MIA,2.8,4,4,3,28,0,0,0,0,0,0,1,2012
26, Jordan Cameron,CLE,2.6,2,2,2,26,0,0,0,0,0,0,1,2012
27, Brandon Myers,LVR,2.2,2,2,1,22,0,0,0,0,0,0,1,2012
28, Tom Crabtree,GB,2.2,2,2,2,22,0,0,0,0,0,0,1,2012
29, Dennis Pitta,BAL,2.2,4,4,3,22,0,0,0,0,0,0,1,2012
30, DJ Williams,GB,2,4,4,2,20,0,0,0,0,0,0,1,2012
31, Dallas Clark,TB,1.5,4,4,3,15,0,0,0,0,0,0,1,2012
32, Clay Harbor,PHI,1.5,2,2,2,15,0,0,0,0,0,0,1,2012
33, Craig Stevens,TEN,1.4,4,4,2,14,0,0,0,0,0,1,1,2012
34, Ed Dickson,BAL,1.1,1,1,1,11,0,0,0,0,0,0,1,2012
35, Orson Charles,CIN,1,1,1,1,10,0,0,0,0,0,0,1,2012
36, David Ausberry,LVR,0.9,2,2,1,9,0,0,0,0,0,0,1,2012
37, David Paulson,PIT,0.8,1,1,1,8,0,0,0,0,0,0,1,2012
38, Tommy Gallarda,ATL,0.7,2,2,1,7,0,0,0,0,0,0,1,2012
39, Taylor Thompson,TEN,0.7,2,2,1,7,0,0,0,0,0,0,1,2012
40, David Thomas,NO,0.6,2,2,1,6,0,0,0,0,0,0,1,2012
41, Luke Stocker,TB,0.5,2,2,1,5,0,0,0,0,0,0,1,2012
42, Jeff King,ARI,0.4,1,1,1,4,0,0,0,0,0,0,1,2012
43, John Carlson,MIN,0.2,1,1,1,2,0,0,0,0,0,0,1,2012
44, Benjamin Watson,CLE,0.1,3,3,1,1,0,0,0,0,0,0,1,2012
45, Daniel Graham,NO,0,0,0,0,0,0,0,0,0,0,0,1,2012
46, Ben Hartsock,CAR,0,1,1,0,0,0,0,0,0,0,0,1,2012
47, Leonard Pope,PIT,0,0,0,0,0,0,0,0,0,0,0,1,2012
48, Matt Spaeth,CHI,0,0,0,0,0,0,0,0,0,0,0,1,2012
49, Gary Barnidge,CAR,0,0,0,0,0,0,0,0,0,0,0,1,2012
50, M. Mulligan,LAR,0,0,0,0,0,0,0,0,0,0,0,1,2012
51, John Phillips,DAL,0,0,0,0,0,0,0,0,0,0,0,1,2012
52, Jake O'Connell,KC,0,0,0,0,0,0,0,0,0,0,0,1,2012
53, Evan Moore,SEA,0,0,0,0,0,0,0,0,0,0,0,1,2012
54, Zach Potter,JAC,0,1,1,0,0,0,0,0,0,0,0,1,2012
55, Tony Moeaki,KC,0,1,1,0,0,0,0,0,0,0,0,1,2012
56, Anthony McCoy,SEA,0,2,2,0,0,0,0,0,0,0,0,1,2012
57, Richie Brockel,CAR,0,0,0,0,0,0,0,0,0,0,0,1,2012
58, Jeron Mastrud,MIA,0,0,0,0,0,0,0,0,0,0,0,1,2012
59, Steve Maneri,KC,0,0,0,0,0,0,0,0,0,0,0,1,2012
60, Logan Paulsen,WAS,0,1,1,0,0,0,0,0,0,0,0,1,2012
61, Julius Thomas,DEN,0,0,0,0,0,0,0,0,0,0,0,1,2012
62, Ryan Taylor,GB,0,0,0,0,0,0,0,0,0,0,0,1,2012
63, Kyle Adams,CHI,0,1,1,0,0,0,0,0,0,0,0,1,2012
64, Mike McNeill,LAR,0,0,0,0,0,0,0,0,0,0,0,1,2012
65, Adrien Robinson,NYG,0,0,0,0,0,0,0,0,0,0,0,1,2012
66, Danny Noble,TB,0,0,0,0,0,0,0,0,0,0,0,1,2012
67, Bradley Sowell,IND,0,0,0,0,0,0,0,0,0,0,0,1,2012
68, Beau Brinkley,TEN,0,0,0,0,0,0,0,0,0,0,0,1,2012
