,Player,Team,FF Pts,SCK,DEFFR,DEFINT,DEFTD,DEFSAF,Week,Season
0,Seahawks,SEA,20,2,3,0,1,0,1,2015
1,Panthers,CAR,17,5,1,2,1,0,1,2015
2,Lions,DET,14,2,1,2,1,0,1,2015
3,Rams,LAR,14,6,0,1,0,0,1,2015
4,Titans,TEN,14,4,0,2,1,0,1,2015
5,Jets,NYJ,13,3,4,1,0,0,1,2015
6,Broncos,DEN,12,2,0,2,1,0,1,2015
7,Giants,NYG,12,0,1,2,1,0,1,2015
8,Ravens,BAL,12,4,0,1,1,0,1,2015
9, Dolphins,MIA,11,1,0,2,0,0,1,2015
10, Patriots,NE,10,3,0,1,0,0,1,2015
11, Chiefs,KC,9,5,1,1,0,0,1,2015
12, Bills,BUF,8,2,1,2,0,0,1,2015
13, 49ers,SF,7,5,0,1,0,0,1,2015
14, Bengals,CIN,6,2,1,1,0,0,1,2015
15, Chargers,LAC,5,1,0,2,0,0,1,2015
16, Football Team,WAS,5,3,1,0,0,0,1,2015
17, Eagles,PHI,5,1,0,2,0,0,1,2015
18, Falcons,ATL,4,0,0,2,0,0,1,2015
19, Jaguars,JAC,4,2,0,1,0,0,1,2015
20, Packers,GB,4,2,0,1,0,0,1,2015
21, Steelers,PIT,4,2,0,0,0,0,1,2015
22, Buccaneers,TB,4,2,1,0,0,0,1,2015
23, Cardinals,ARI,4,2,0,1,0,0,1,2015
24, Vikings,MIN,3,1,1,0,0,0,1,2015
25, Saints,NO,2,0,1,0,0,0,1,2015
26, Texans,HOU,2,2,0,0,0,0,1,2015
27, Browns,CLE,2,0,0,1,0,0,1,2015
28, Cowboys,DAL,1,1,0,0,0,0,1,2015
29, Raiders,LVR,0,0,0,0,0,0,1,2015
30, Colts,IND,0,0,0,0,0,0,1,2015
31, Bears,CHI,0,0,0,0,0,0,1,2015
0,Broncos,DEN,21,5,3,2,1,0,2,2015
1,Browns,CLE,19,7,3,0,0,0,2,2015
2,Cardinals,ARI,18,2,0,2,1,0,2,2015
3,Patriots,NE,14,8,0,3,0,0,2,2015
4,Steelers,PIT,14,5,1,0,0,0,2,2015
5,Chiefs,KC,11,3,0,1,1,0,2,2015
6,Buccaneers,TB,10,4,2,1,0,0,2,2015
7,Jets,NYJ,10,0,2,3,0,0,2,2015
8,Bengals,CIN,10,4,2,1,0,0,2,2015
9, Saints,NO,7,3,2,0,0,0,2,2015
10, Cowboys,DAL,7,1,1,2,0,0,2,2015
11, Vikings,MIN,7,1,2,1,0,0,2,2015
12, Eagles,PHI,7,3,2,0,0,0,2,2015
13, Packers,GB,6,2,1,1,0,0,2,2015
14, Bills,BUF,6,2,2,0,0,0,2,2015
15, Chargers,LAC,4,0,2,0,0,0,2,2015
16, Rams,LAR,4,2,1,0,0,0,2,2015
17, Raiders,LVR,4,0,1,1,0,0,2,2015
18, Texans,HOU,4,2,0,1,0,0,2,2015
19, Falcons,ATL,4,2,1,0,0,0,2,2015
20, Seahawks,SEA,4,2,1,0,0,0,2,2015
21, Bears,CHI,4,0,1,1,0,0,2,2015
22, Lions,DET,3,1,1,0,0,0,2,2015
23, Panthers,CAR,3,1,0,1,0,0,2,2015
24, Colts,IND,3,1,0,1,0,0,2,2015
25, Ravens,BAL,3,1,0,1,0,0,2,2015
26, Jaguars,JAC,2,2,0,0,0,0,2,2015
27, Giants,NYG,2,2,0,0,0,0,2,2015
28, Titans,TEN,2,2,0,0,0,0,2,2015
29, Football Team,WAS,1,1,0,0,0,0,2,2015
30, Dolphins,MIA,0,0,0,0,0,0,2,2015
31, 49ers,SF,0,0,0,0,0,0,2,2015
0,Cardinals,ARI,24,2,0,4,2,1,3,2015
1,Eagles,PHI,15,1,1,3,0,0,3,2015
2,Rams,LAR,14,5,0,1,0,0,3,2015
3,Vikings,MIN,14,4,1,1,1,0,3,2015
4,Bills,BUF,14,2,0,3,1,0,3,2015
5,Colts,IND,13,3,0,2,1,0,3,2015
6,Ravens,BAL,12,2,1,1,1,0,3,2015
7,Broncos,DEN,10,4,1,2,0,0,3,2015
8,Raiders,LVR,9,5,1,1,0,0,3,2015
9, Packers,GB,9,7,0,1,0,0,3,2015
10, Steelers,PIT,8,2,0,1,0,0,3,2015
11, Seahawks,SEA,8,2,0,0,0,0,3,2015
12, Saints,NO,7,1,0,0,0,0,3,2015
13, Giants,NYG,7,1,0,2,0,1,3,2015
14, Titans,TEN,7,3,0,2,0,0,3,2015
15, Football Team,WAS,6,0,0,0,0,0,3,2015
16, Lions,DET,5,1,1,1,0,0,3,2015
17, Panthers,CAR,5,1,1,1,0,0,3,2015
18, Patriots,NE,4,2,0,1,0,0,3,2015
19, Falcons,ATL,4,2,0,1,0,0,3,2015
20, Bears,CHI,4,4,0,0,0,0,3,2015
21, Buccaneers,TB,3,1,0,1,0,0,3,2015
22, Jets,NYJ,3,1,1,0,0,0,3,2015
23, 49ers,SF,3,1,0,1,0,0,3,2015
24, Chargers,LAC,2,0,0,1,0,0,3,2015
25, Texans,HOU,2,0,0,1,0,0,3,2015
26, Jaguars,JAC,2,2,0,0,0,0,3,2015
27, Bengals,CIN,2,0,0,1,0,0,3,2015
28, Browns,CLE,2,0,1,0,0,0,3,2015
29, Cowboys,DAL,1,1,0,0,0,0,3,2015
30, Chiefs,KC,1,1,0,0,0,0,3,2015
31, Dolphins,MIA,0,0,0,0,0,0,3,2015
0,Panthers,CAR,24,2,1,4,2,0,4,2015
1,Falcons,ATL,21,1,3,1,2,0,4,2015
2,Lions,DET,18,6,3,0,1,0,4,2015
3,Steelers,PIT,18,5,1,1,0,0,4,2015
4,Rams,LAR,10,4,2,1,0,0,4,2015
5,Football Team,WAS,9,5,2,0,0,0,4,2015
6,Broncos,DEN,9,7,1,0,0,0,4,2015
7,Raiders,LVR,9,3,2,1,0,0,4,2015
8,Packers,GB,8,6,0,1,0,0,4,2015
9, Ravens,BAL,8,4,0,0,0,0,4,2015
10, Jaguars,JAC,7,3,2,0,0,0,4,2015
11, Jets,NYJ,7,3,0,2,0,0,4,2015
12, Bengals,CIN,7,5,1,0,0,0,4,2015
13, Chargers,LAC,6,4,1,0,0,0,4,2015
14, Vikings,MIN,6,2,0,2,0,0,4,2015
15, Giants,NYG,6,2,1,1,0,0,4,2015
16, Bears,CHI,6,2,1,1,0,0,4,2015
17, Buccaneers,TB,4,2,1,0,0,0,4,2015
18, Saints,NO,3,3,0,0,0,0,4,2015
19, Cowboys,DAL,3,3,0,0,0,0,4,2015
20, Bills,BUF,3,1,0,1,0,0,4,2015
21, Eagles,PHI,3,1,1,0,0,0,4,2015
22, 49ers,SF,3,3,0,0,0,0,4,2015
23, Dolphins,MIA,2,0,0,1,0,0,4,2015
24, Texans,HOU,2,2,0,0,0,0,4,2015
25, Browns,CLE,2,2,0,0,0,0,4,2015
26, Colts,IND,1,1,0,0,0,0,4,2015
27, Cardinals,ARI,1,1,0,0,0,0,4,2015
28, Seahawks,SEA,0,0,0,0,0,0,4,2015
29, Chiefs,KC,0,0,0,0,0,0,4,2015
0,Steelers,PIT,24,2,1,1,1,0,5,2015
1,Falcons,ATL,17,1,0,2,2,0,5,2015
2,Packers,GB,17,3,0,4,1,0,5,2015
3,Broncos,DEN,16,4,2,1,1,0,5,2015
4,Buccaneers,TB,16,6,1,1,1,0,5,2015
5,Seahawks,SEA,14,4,1,1,1,0,5,2015
6,Cardinals,ARI,13,1,2,4,0,0,5,2015
7,Eagles,PHI,13,5,3,1,0,0,5,2015
8,Chargers,LAC,10,3,0,1,0,0,5,2015
9, Chiefs,KC,10,2,1,0,1,0,5,2015
10, Football Team,WAS,9,3,1,2,0,0,5,2015
11, Rams,LAR,8,2,1,2,0,0,5,2015
12, Patriots,NE,7,3,1,1,0,0,5,2015
13, Raiders,LVR,6,2,0,2,0,0,5,2015
14, Bengals,CIN,6,4,0,1,0,0,5,2015
15, Titans,TEN,6,4,1,0,0,0,5,2015
16, Cowboys,DAL,5,5,0,0,0,0,5,2015
17, Colts,IND,5,1,0,2,0,0,5,2015
18, Saints,NO,4,0,0,2,0,0,5,2015
19, Ravens,BAL,4,4,0,0,0,0,5,2015
20, Bills,BUF,4,2,0,1,0,0,5,2015
21, Bears,CHI,3,3,0,0,0,0,5,2015
22, Lions,DET,2,2,0,0,0,0,5,2015
23, Jaguars,JAC,2,2,0,0,0,0,5,2015
24, Giants,NYG,2,2,0,0,0,0,5,2015
25, 49ers,SF,2,0,0,1,0,0,5,2015
26, Browns,CLE,1,1,0,0,0,0,5,2015
27, Texans,HOU,0,0,0,0,0,0,5,2015
0,Dolphins,MIA,20,6,2,2,1,0,6,2015
1,Saints,NO,17,5,3,0,0,0,6,2015
2,Broncos,DEN,16,4,1,2,1,0,6,2015
3,Texans,HOU,15,3,0,3,1,0,6,2015
4,Eagles,PHI,15,3,1,2,1,0,6,2015
5,Steelers,PIT,14,1,1,2,0,0,6,2015
6,Browns,CLE,12,0,0,3,1,0,6,2015
7,Colts,IND,10,2,0,1,1,0,6,2015
8,Giants,NYG,9,1,1,3,0,0,6,2015
9, Bears,CHI,8,2,2,1,0,0,6,2015
10, Seahawks,SEA,7,3,0,2,0,0,6,2015
11, Football Team,WAS,6,0,2,1,0,0,6,2015
12, Titans,TEN,6,2,0,2,0,0,6,2015
13, Chiefs,KC,6,2,0,2,0,0,6,2015
14, Packers,GB,5,3,1,0,0,0,6,2015
15, Jets,NYJ,5,1,0,2,0,0,6,2015
16, Panthers,CAR,4,4,0,0,0,0,6,2015
17, Vikings,MIN,4,2,1,0,0,0,6,2015
18, Bengals,CIN,4,2,0,1,0,0,6,2015
19, 49ers,SF,4,0,0,2,0,0,6,2015
20, Patriots,NE,3,3,0,0,0,0,6,2015
21, Lions,DET,3,1,0,1,0,0,6,2015
22, Chargers,LAC,3,3,0,0,0,0,6,2015
23, Ravens,BAL,3,3,0,0,0,0,6,2015
24, Cardinals,ARI,2,1,0,0,0,0,6,2015
25, Falcons,ATL,1,1,0,0,0,0,6,2015
26, Jaguars,JAC,1,1,0,0,0,0,6,2015
27, Bills,BUF,0,0,0,0,0,0,6,2015
0,Jaguars,JAC,24,4,2,2,2,0,7,2015
1,Giants,NYG,21,1,1,3,1,0,7,2015
2,Rams,LAR,18,4,4,0,1,0,7,2015
3,Chiefs,KC,16,2,1,2,0,0,7,2015
4,Dolphins,MIA,12,4,0,1,1,0,7,2015
5,Saints,NO,10,4,1,2,0,0,7,2015
6,Bills,BUF,10,2,0,1,1,0,7,2015
7,Buccaneers,TB,9,1,1,0,1,0,7,2015
8,49ers,SF,9,5,0,2,0,0,7,2015
9, Lions,DET,8,4,1,0,0,1,7,2015
10, Panthers,CAR,7,5,0,1,0,0,7,2015
11, Vikings,MIN,7,7,0,0,0,0,7,2015
12, Cardinals,ARI,7,3,1,1,0,0,7,2015
13, Eagles,PHI,7,1,0,3,0,0,7,2015
14, Texans,HOU,6,4,1,0,0,0,7,2015
15, Seahawks,SEA,6,6,0,0,0,0,7,2015
16, Raiders,LVR,5,1,0,2,0,0,7,2015
17, Falcons,ATL,5,1,0,2,0,0,7,2015
18, Patriots,NE,4,2,1,0,0,0,7,2015
19, Steelers,PIT,4,2,0,0,0,0,7,2015
20, Colts,IND,4,2,0,1,0,0,7,2015
21, Browns,CLE,4,2,1,0,0,0,7,2015
22, Titans,TEN,4,0,0,2,0,0,7,2015
23, Football Team,WAS,3,1,1,0,0,0,7,2015
24, Jets,NYJ,3,3,0,0,0,0,7,2015
25, Cowboys,DAL,2,2,0,0,0,0,7,2015
26, Ravens,BAL,2,2,0,0,0,0,7,2015
27, Chargers,LAC,1,1,0,0,0,0,7,2015
0,Bengals,CIN,18,3,0,3,0,0,8,2015
1,Steelers,PIT,14,3,0,2,0,0,8,2015
2,Texans,HOU,13,7,2,1,0,0,8,2015
3,Patriots,NE,11,5,0,2,0,1,8,2015
4,Panthers,CAR,10,2,1,3,0,0,8,2015
5,Giants,NYG,10,0,0,2,1,0,8,2015
6,Chiefs,KC,10,6,0,2,0,0,8,2015
7,Buccaneers,TB,9,1,3,1,0,0,8,2015
8,Browns,CLE,9,1,3,1,0,0,8,2015
9, Colts,IND,8,2,2,1,0,0,8,2015
10, Vikings,MIN,7,1,0,0,0,0,8,2015
11, Broncos,DEN,5,3,0,0,0,1,8,2015
12, Rams,LAR,5,3,0,0,0,1,8,2015
13, Raiders,LVR,5,3,0,1,0,0,8,2015
14, Cardinals,ARI,5,1,1,1,0,0,8,2015
15, Saints,NO,4,2,1,0,0,0,8,2015
16, Lions,DET,3,3,0,0,0,0,8,2015
17, Chargers,LAC,3,3,0,0,0,0,8,2015
18, Bears,CHI,3,1,0,1,0,0,8,2015
19, Titans,TEN,3,3,0,0,0,0,8,2015
20, Cowboys,DAL,2,0,0,1,0,0,8,2015
21, Dolphins,MIA,2,2,0,0,0,0,8,2015
22, Falcons,ATL,2,2,0,0,0,0,8,2015
23, Packers,GB,2,0,0,1,0,0,8,2015
24, 49ers,SF,2,0,1,0,0,0,8,2015
25, Seahawks,SEA,1,1,0,0,0,0,8,2015
26, Ravens,BAL,1,1,0,0,0,0,8,2015
27, Jets,NYJ,0,0,0,0,0,0,8,2015
0,Steelers,PIT,16,0,3,1,0,0,9,2015
1,Jets,NYJ,13,5,2,2,0,0,9,2015
2,Giants,NYG,12,0,3,0,1,0,9,2015
3,Eagles,PHI,12,4,0,1,1,0,9,2015
4,Chargers,LAC,11,1,1,1,1,0,9,2015
5,Raiders,LVR,10,1,1,1,0,0,9,2015
6,Panthers,CAR,9,5,1,1,0,0,9,2015
7,Titans,TEN,8,4,1,1,0,0,9,2015
8,Broncos,DEN,7,1,0,0,0,0,9,2015
9, Bills,BUF,6,2,1,0,0,1,9,2015
10, Patriots,NE,5,1,1,1,0,0,9,2015
11, Colts,IND,5,1,0,2,0,0,9,2015
12, Football Team,WAS,4,0,1,1,0,0,9,2015
13, Falcons,ATL,4,0,0,2,0,0,9,2015
14, Buccaneers,TB,4,0,0,2,0,0,9,2015
