,Player,Team,FF Pts,Plays,TRGT,REC,RCYDS,RCTDS,RUATT,RUYDS,RUTDS,INT,FUM,Week,Season
0,B. Marshall,CHI,40.2,25,25,19,282,2,0,0,0,0,0,1,2012
1,Victor Cruz,NYG,39.9,21,21,14,159,4,0,0,0,0,0,1,2012
2,James Jones,GB,34.2,13,13,9,102,4,0,0,0,0,0,1,2012
3,A.J. Green,CIN,30.2,22,22,15,182,2,0,0,0,0,1,1,2012
4,Reggie Wayne,IND,27.2,20,20,13,212,1,0,0,0,0,0,1,2012
5,Percy Harvin,MIN,23.6,12,10,8,108,1,2,8,1,0,0,1,2012
6,DeSean Jackson,PHI,21.7,17,17,10,157,1,0,0,0,0,1,1,2012
7,Marques Colston,NO,21.3,13,13,9,153,1,0,0,0,0,0,1,2012
8,Randall Cobb,GB,20.8,12,12,11,148,1,0,0,0,0,0,1,2012
9, Josh Gordon,CLE,20.2,8,8,2,82,2,0,0,0,0,0,1,2012
10, Jordy Nelson,GB,18.2,17,17,10,122,1,0,0,0,0,0,1,2012
11, Santana Moss,WAS,17.3,9,9,5,113,1,0,0,0,0,0,1,2012
12, Domenik Hixon,NYG,16.9,19,19,11,169,0,0,0,0,0,0,1,2012
13, Vincent Jackson,TB,16,11,11,6,100,1,0,0,0,0,0,1,2012
14, Julio Jones,ATL,15.5,16,15,10,94,1,1,1,0,0,0,1,2012
15, Devin Hester,CHI,14.7,8,8,5,87,1,0,0,0,0,0,1,2012
16, Joe Morgan,NO,14,1,1,1,80,1,0,0,0,0,0,1,2012
17, Eric Decker,DEN,13.9,9,9,7,79,1,0,0,0,0,0,1,2012
18, Miles Austin,DAL,11.7,6,6,4,57,1,0,0,0,0,0,1,2012
19, M. Williams,TB,11.5,8,8,4,115,0,0,0,0,0,0,1,2012
20, Alshon Jeffery,CHI,11.2,9,9,5,52,1,0,0,0,0,0,1,2012
21, Chris Givens,LAR,11.1,5,5,1,51,1,0,0,0,0,0,1,2012
22, Dez Bryant,DAL,10.5,13,13,8,105,0,0,0,0,0,0,1,2012
23, D. Thomas,DEN,10.3,6,6,5,103,0,0,0,0,0,1,1,2012
24, L. Fitzgerald,ARI,9.2,15,15,8,92,0,0,0,0,0,0,1,2012
25, Andrew Hawkins,CIN,9.1,17,16,8,86,0,1,5,0,0,0,1,2012
26, Golden Tate,SEA,9,5,4,3,31,1,1,-1,0,0,0,1,2012
27, Justin Blackmon,JAC,8.8,18,18,9,88,0,0,0,0,0,0,1,2012
28, Antonio Brown,PIT,8.6,10,10,7,86,0,0,0,0,0,0,1,2012
29, Anquan Boldin,BAL,8.2,10,10,4,82,0,0,0,0,0,0,1,2012
30, Jordan Norwood,CLE,8.2,10,9,9,81,0,1,1,0,0,0,1,2012
31, Rueben Randle,NYG,8.2,10,10,6,82,0,0,0,0,0,0,1,2012
32, Denarius Moore,LVR,7.1,8,8,4,71,0,0,0,0,0,0,1,2012
33, Greg Jennings,GB,6.9,3,3,1,9,1,0,0,0,0,0,1,2012
34, Roddy White,ATL,6.8,6,6,4,68,0,0,0,0,0,0,1,2012
35, Lance Moore,NO,6.7,15,15,7,67,0,0,0,0,0,0,1,2012
36, Sidney Rice,SEA,6.7,6,6,5,67,0,0,0,0,0,0,1,2012
37, Josh Morgan,WAS,6.6,6,6,5,66,0,0,0,0,0,0,1,2012
38, Kendall Wright,TEN,6.6,11,11,9,66,0,0,0,0,0,0,1,2012
39, Jason Avant,PHI,6.4,5,5,5,64,0,0,0,0,0,0,1,2012
40, L. Hankerson,WAS,6.2,13,12,8,60,0,1,2,0,0,0,1,2012
41, Dwayne Bowe,KC,6,8,8,6,60,0,0,0,0,0,0,1,2012
42, Brian Hartline,MIA,5.9,5,5,4,59,0,0,0,0,0,0,1,2012
43, Cecil Shorts,JAC,5.1,8,8,3,51,0,0,0,0,0,0,1,2012
44, Davone Bess,MIA,4.9,6,6,2,49,0,0,0,0,0,0,1,2012
45, Nate Washington,TEN,4.6,8,8,4,46,0,0,0,0,0,0,1,2012
46, Jeremy Maclin,PHI,4.6,11,11,6,46,0,0,0,0,0,0,1,2012
47, Pierre Garcon,WAS,4.4,8,8,4,44,0,0,0,0,0,0,1,2012
48, Danny Amendola,LAR,4.4,5,5,1,44,0,0,0,0,0,0,1,2012
49, Brandon LaFell,CAR,4.4,3,3,3,44,0,0,0,0,0,0,1,2012
50, Andre Roberts,ARI,4.2,11,10,5,39,0,1,3,0,0,0,1,2012
51, Armon Binns,CIN,4.1,11,11,4,41,0,0,0,0,0,1,1,2012
52, Steve Smith,CAR,4,13,13,4,40,0,0,0,0,0,0,1,2012
53, Harry Douglas,ATL,3.9,6,5,2,34,0,1,5,0,0,0,1,2012
54, T. Underwood,TB,3.9,3,3,3,39,0,0,0,0,0,0,1,2012
55, Torrey Smith,BAL,3.8,4,4,3,38,0,0,0,0,0,0,1,2012
56, Doug Baldwin,SEA,3.7,4,4,3,37,0,0,0,0,0,0,1,2012
57, T.Y. Hilton,IND,3.7,10,9,3,37,0,1,0,0,0,0,1,2012
58, Ramses Barden,NYG,3.6,4,4,2,36,0,0,0,0,0,0,1,2012
